,run_number,empty_protein_box,single_protein,multi_protein,empty_GW_box,single_GW,multi_GW,common box #
0,1,17023,193,2005,15443,841,2937,2097
1,2,17023,193,2005,14890,807,3524,2160
2,3,17023,193,2005,14537,814,3870,2183
3,4,17023,193,2005,14302,806,4113,2191
4,5,17023,193,2005,14124,804,4293,2194
5,6,17023,193,2005,13965,816,4440,2198
6,7,17023,193,2005,13858,799,4564,2198
7,8,17023,193,2005,13742,791,4688,2198
8,9,17023,193,2005,13656,773,4792,2198
9,10,17023,193,2005,13594,758,4869,2198
10,11,17023,193,2005,13533,749,4939,2198
11,12,17023,193,2005,13453,760,5008,2198
12,13,17023,193,2005,13402,756,5063,2198
13,14,17023,193,2005,13340,769,5112,2198
14,15,17023,193,2005,13288,770,5163,2198
15,16,17023,193,2005,13228,787,5206,2198
16,17,17023,193,2005,13173,786,5262,2198
17,18,17023,193,2005,13118,796,5307,2198
18,19,17023,193,2005,13079,782,5360,2198
19,20,17023,193,2005,13028,796,5397,2198
20,21,17023,193,2005,12985,802,5434,2198
