,run_number,empty_protein_box,single_protein,multi_protein,empty_GW_box,single_GW,multi_GW,common box #
0,1,6631,59,909,5807,317,1475,957
1,2,6631,59,909,5583,320,1696,965
2,3,6631,59,909,5458,308,1833,966
3,4,6631,59,909,5373,304,1922,967
4,5,6631,59,909,5295,314,1990,968
5,6,6631,59,909,5229,310,2060,968
6,7,6631,59,909,5180,313,2106,968
7,8,6631,59,909,5138,300,2161,968
8,9,6631,59,909,5116,280,2203,968
9,10,6631,59,909,5088,281,2230,968
10,11,6631,59,909,5063,283,2253,968
11,12,6631,59,909,5037,269,2293,968
12,13,6631,59,909,5015,274,2310,968
13,14,6631,59,909,4989,278,2332,968
14,15,6631,59,909,4968,279,2352,968
15,16,6631,59,909,4943,285,2371,968
16,17,6631,59,909,4930,273,2396,968
17,18,6631,59,909,4907,280,2412,968
18,19,6631,59,909,4891,276,2432,968
19,20,6631,59,909,4867,288,2444,968
20,21,6631,59,909,4850,294,2455,968
