,run_number,empty_protein_box,single_protein,multi_protein,empty_GW_box,single_GW,multi_GW,common box #
0,1,137,1,30,98,8,62,31
1,2,137,1,30,93,6,69,31
2,3,137,1,30,91,6,71,31
3,4,137,1,30,91,5,72,31
4,5,137,1,30,91,3,74,31
5,6,137,1,30,87,7,74,31
6,7,137,1,30,87,6,75,31
7,8,137,1,30,87,6,75,31
8,9,137,1,30,87,6,75,31
9,10,137,1,30,87,6,75,31
10,11,137,1,30,87,6,75,31
11,12,137,1,30,87,6,75,31
12,13,137,1,30,87,5,76,31
13,14,137,1,30,86,5,77,31
14,15,137,1,30,85,6,77,31
15,16,137,1,30,85,5,78,31
16,17,137,1,30,84,6,78,31
17,18,137,1,30,84,6,78,31
18,19,137,1,30,84,5,79,31
19,20,137,1,30,83,4,81,31
20,21,137,1,30,83,3,82,31
